Property_ID,Property Type,Sale Type,Sale Date,Raw Sale Type,Raw Sale Date,Raw Price,Total Sales,Address,City,floor_count,Heating_Type,Link,Living_Area,Postal_Code,Roof_Type,Rooms,Source_Site,URL,Wall_Material,Weighted_Area
skelhoejvej-25a-0-th-2800-kongens-lyngby-01730710_25a_st__th,Ejerlejlighed,Free Sale,07-05-2025,Fri handel,07-05-2025,1.810.000,2,"Skelhøjvej 25A, st. th.",Kongens Lyngby,1,Fjernvarme/blokvarme,/adresse/skelhoejvej-25a-0-th-2800-kongens-lyngby-01730710_25a_st__th,46.0,2800.0,Tegl,2.0,boligsiden,https://www.boligsiden.dk/adresse/skelhoejvej-25a-0-th-2800-kongens-lyngby-01730710_25a_st__th,Mursten,Ikke oplyst
skelhoejvej-25a-0-th-2800-kongens-lyngby-01730710_25a_st__th,Ejerlejlighed,Free Sale,03-11-2017,Fri handel,03-11-2017,1.025.000,2,"Skelhøjvej 25A, st. th.",Kongens Lyngby,1,Fjernvarme/blokvarme,/adresse/skelhoejvej-25a-0-th-2800-kongens-lyngby-01730710_25a_st__th,46.0,2800.0,Tegl,2.0,boligsiden,https://www.boligsiden.dk/adresse/skelhoejvej-25a-0-th-2800-kongens-lyngby-01730710_25a_st__th,Mursten,Ikke oplyst
cellovej-32-2730-herlev-01630837__32_______,Villa,Free Sale,03-05-2025,Fri handel,03-05-2025,4.100.000,3,Cellovej 32,Herlev,1,Centralvarme med én fyringsenhed,/adresse/cellovej-32-2730-herlev-01630837__32_______,115.0,2730.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/cellovej-32-2730-herlev-01630837__32_______,Mursten,129.6
cellovej-32-2730-herlev-01630837__32_______,Villa,Free Sale,19-07-2010,Fri handel,19-07-2010,2.100.000,3,Cellovej 32,Herlev,1,Centralvarme med én fyringsenhed,/adresse/cellovej-32-2730-herlev-01630837__32_______,115.0,2730.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/cellovej-32-2730-herlev-01630837__32_______,Mursten,129.6
cellovej-32-2730-herlev-01630837__32_______,Villa,Free Sale,19-07-2010,Fri handel,19-07-2010,2.100.000,3,Cellovej 32,Herlev,1,Centralvarme med én fyringsenhed,/adresse/cellovej-32-2730-herlev-01630837__32_______,115.0,2730.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/cellovej-32-2730-herlev-01630837__32_______,Mursten,129.6
strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,Ejerlejlighed,Family Sale,01-05-2025,Familie handel,01-05-2025,4.028.900,3,"Strandvejen 110C, st. tv.",Hellerup,1,Fjernvarme/blokvarme,/adresse/strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,84.0,2900.0,Fibercement herunder asbest,3.0,boligsiden,https://www.boligsiden.dk/adresse/strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,Mursten,Ikke oplyst
strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,Ejerlejlighed,Other,15-02-2023,Andet,15-02-2023,4.000.000,3,"Strandvejen 110C, st. tv.",Hellerup,1,Fjernvarme/blokvarme,/adresse/strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,84.0,2900.0,Fibercement herunder asbest,3.0,boligsiden,https://www.boligsiden.dk/adresse/strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,Mursten,Ikke oplyst
strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,Ejerlejlighed,Free Sale,16-06-2017,Fri handel,16-06-2017,3.650.000,3,"Strandvejen 110C, st. tv.",Hellerup,1,Fjernvarme/blokvarme,/adresse/strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,84.0,2900.0,Fibercement herunder asbest,3.0,boligsiden,https://www.boligsiden.dk/adresse/strandvejen-110c-0-tv-2900-hellerup-01570802110c_st__tv,Mursten,Ikke oplyst
tranehusene-90-2620-albertslund-01650536__90_______,Rækkehus,Other,01-05-2025,Andet,01-05-2025,1.500.000,3,Tranehusene 90,Albertslund,2,Fjernvarme/blokvarme,/adresse/tranehusene-90-2620-albertslund-01650536__90_______,108.0,2620.0,Tagpap med lille hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/tranehusene-90-2620-albertslund-01650536__90_______,Betonelementer,131.2
tranehusene-90-2620-albertslund-01650536__90_______,Rækkehus,Free Sale,12-07-2013,Fri handel,12-07-2013,1.775.000,3,Tranehusene 90,Albertslund,2,Fjernvarme/blokvarme,/adresse/tranehusene-90-2620-albertslund-01650536__90_______,108.0,2620.0,Tagpap med lille hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/tranehusene-90-2620-albertslund-01650536__90_______,Betonelementer,131.2
tranehusene-90-2620-albertslund-01650536__90_______,Rækkehus,Free Sale,26-08-2002,Fri handel,26-08-2002,1.549.000,3,Tranehusene 90,Albertslund,2,Fjernvarme/blokvarme,/adresse/tranehusene-90-2620-albertslund-01650536__90_______,108.0,2620.0,Tagpap med lille hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/tranehusene-90-2620-albertslund-01650536__90_______,Betonelementer,131.2
tranegaardsvej-48-1-tv-2900-hellerup-01570880__48__1__tv,Ejerlejlighed,Free Sale,01-05-2025,Fri handel,01-05-2025,4.050.000,1,"Tranegårdsvej 48, 1. tv.",Hellerup,1,Blandet,/adresse/tranegaardsvej-48-1-tv-2900-hellerup-01570880__48__1__tv,90.0,2900.0,Tegl,4.0,boligsiden,https://www.boligsiden.dk/adresse/tranegaardsvej-48-1-tv-2900-hellerup-01570880__48__1__tv,Mursten,Ikke oplyst
rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,4.200.000,3,"Rygårds Alle 8A, 4.",Hellerup,1,Fjernvarme/blokvarme,/adresse/rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,95.0,2900.0,Tegl,4.0,boligsiden,https://www.boligsiden.dk/adresse/rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,Mursten,Ikke oplyst
rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,Ejerlejlighed,Free Sale,06-04-2010,Fri handel,06-04-2010,2.600.000,3,"Rygårds Alle 8A, 4.",Hellerup,1,Fjernvarme/blokvarme,/adresse/rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,95.0,2900.0,Tegl,4.0,boligsiden,https://www.boligsiden.dk/adresse/rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,Mursten,Ikke oplyst
rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,Ejerlejlighed,Other,10-07-2003,Andet,10-07-2003,680.000,3,"Rygårds Alle 8A, 4.",Hellerup,1,Fjernvarme/blokvarme,/adresse/rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,95.0,2900.0,Tegl,4.0,boligsiden,https://www.boligsiden.dk/adresse/rygaards-alle-8a-4-2900-hellerup-01570665__8a__4____,Mursten,Ikke oplyst
silene-alle-6-2860-soeborg-01590745___6_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,6.750.000,2,Silene Alle 6,Søborg,1,Fjernvarme/blokvarme,/adresse/silene-alle-6-2860-soeborg-01590745___6_______,110.0,2860.0,Tegl,4.0,boligsiden,https://www.boligsiden.dk/adresse/silene-alle-6-2860-soeborg-01590745___6_______,Mursten,136.25
silene-alle-6-2860-soeborg-01590745___6_______,Villa,Free Sale,14-04-2003,Fri handel,14-04-2003,2.150.000,2,Silene Alle 6,Søborg,1,Fjernvarme/blokvarme,/adresse/silene-alle-6-2860-soeborg-01590745___6_______,110.0,2860.0,Tegl,4.0,boligsiden,https://www.boligsiden.dk/adresse/silene-alle-6-2860-soeborg-01590745___6_______,Mursten,136.25
gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,Ejerlejlighed,Family Sale,30-04-2025,Familie handel,30-04-2025,950.000,3,"Gladsaxe Møllevej 107, 2. th.",Søborg,1,Fjernvarme/blokvarme,/adresse/gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,66.0,2860.0,Tegl,2.0,boligsiden,https://www.boligsiden.dk/adresse/gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,Mursten,Ikke oplyst
gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,Ejerlejlighed,Free Sale,14-06-2024,Fri handel,14-06-2024,950.000,3,"Gladsaxe Møllevej 107, 2. th.",Søborg,1,Fjernvarme/blokvarme,/adresse/gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,66.0,2860.0,Tegl,2.0,boligsiden,https://www.boligsiden.dk/adresse/gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,Mursten,Ikke oplyst
gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,Ejerlejlighed,Family Sale,21-09-2023,Familie handel,21-09-2023,950.000,3,"Gladsaxe Møllevej 107, 2. th.",Søborg,1,Fjernvarme/blokvarme,/adresse/gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,66.0,2860.0,Tegl,2.0,boligsiden,https://www.boligsiden.dk/adresse/gladsaxe-moellevej-107-2-th-2860-soeborg-01590211_107__2__th,Mursten,Ikke oplyst
taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,1.525.000,3,"Taastrup Have 38, 1. tv.",Taastrup,1,Fjernvarme/blokvarme,/adresse/taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,57.0,2630.0,Fibercement herunder asbest,2.0,boligsiden,https://www.boligsiden.dk/adresse/taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,Mursten,Ikke oplyst
taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,Ejerlejlighed,Free Sale,19-02-2015,Fri handel,19-02-2015,995.000,3,"Taastrup Have 38, 1. tv.",Taastrup,1,Fjernvarme/blokvarme,/adresse/taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,57.0,2630.0,Fibercement herunder asbest,2.0,boligsiden,https://www.boligsiden.dk/adresse/taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,Mursten,Ikke oplyst
taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,Ejerlejlighed,Free Sale,11-01-2007,Fri handel,11-01-2007,1.150.000,3,"Taastrup Have 38, 1. tv.",Taastrup,1,Fjernvarme/blokvarme,/adresse/taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,57.0,2630.0,Fibercement herunder asbest,2.0,boligsiden,https://www.boligsiden.dk/adresse/taastrup-have-38-1-tv-2630-taastrup-01698960__38__1__tv,Mursten,Ikke oplyst
engbovej-67-2610-roedovre-01750193__67_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,3.900.000,3,Engbovej 67,Rødovre,1,Centralvarme med én fyringsenhed,/adresse/engbovej-67-2610-roedovre-01750193__67_______,91.0,2610.0,Tagpap med stor hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/engbovej-67-2610-roedovre-01750193__67_______,Mursten,96.5
engbovej-67-2610-roedovre-01750193__67_______,Villa,Free Sale,23-05-2005,Fri handel,23-05-2005,1.895.000,3,Engbovej 67,Rødovre,1,Centralvarme med én fyringsenhed,/adresse/engbovej-67-2610-roedovre-01750193__67_______,91.0,2610.0,Tagpap med stor hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/engbovej-67-2610-roedovre-01750193__67_______,Mursten,96.5
engbovej-67-2610-roedovre-01750193__67_______,Villa,Free Sale,13-07-2001,Fri handel,13-07-2001,1.184.340,3,Engbovej 67,Rødovre,1,Centralvarme med én fyringsenhed,/adresse/engbovej-67-2610-roedovre-01750193__67_______,91.0,2610.0,Tagpap med stor hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/engbovej-67-2610-roedovre-01750193__67_______,Mursten,96.5
boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,3.495.000,3,"Boulevarden 6, 2. 25.",Kongens Lyngby,1,Centralvarme med én fyringsenhed,/adresse/boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,72.0,2800.0,Tagpap med lille hældning,2.0,boligsiden,https://www.boligsiden.dk/adresse/boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,Fibercement uden asbest,Ikke oplyst
boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,Ejerlejlighed,Free Sale,12-10-2015,Fri handel,12-10-2015,1.760.000,3,"Boulevarden 6, 2. 25.",Kongens Lyngby,1,Centralvarme med én fyringsenhed,/adresse/boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,72.0,2800.0,Tagpap med lille hældning,2.0,boligsiden,https://www.boligsiden.dk/adresse/boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,Fibercement uden asbest,Ikke oplyst
boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,Ejerlejlighed,Free Sale,04-02-1998,Fri handel,04-02-1998,850.000,3,"Boulevarden 6, 2. 25.",Kongens Lyngby,1,Centralvarme med én fyringsenhed,/adresse/boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,72.0,2800.0,Tagpap med lille hældning,2.0,boligsiden,https://www.boligsiden.dk/adresse/boulevarden-6-2-25-2800-kongens-lyngby-01730086___6__2__25,Fibercement uden asbest,Ikke oplyst
strandholms-alle-21-2650-hvidovre-01677975__21_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,4.800.000,3,Strandholms Alle 21,Hvidovre,1,Fjernvarme/blokvarme,/adresse/strandholms-alle-21-2650-hvidovre-01677975__21_______,94.0,2650.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/strandholms-alle-21-2650-hvidovre-01677975__21_______,Bindingsværk,100.4
strandholms-alle-21-2650-hvidovre-01677975__21_______,Villa,Free Sale,12-04-2021,Fri handel,12-04-2021,3.870.000,3,Strandholms Alle 21,Hvidovre,1,Fjernvarme/blokvarme,/adresse/strandholms-alle-21-2650-hvidovre-01677975__21_______,94.0,2650.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/strandholms-alle-21-2650-hvidovre-01677975__21_______,Bindingsværk,100.4
strandholms-alle-21-2650-hvidovre-01677975__21_______,Villa,Free Sale,28-03-2006,Fri handel,28-03-2006,2.995.000,3,Strandholms Alle 21,Hvidovre,1,Fjernvarme/blokvarme,/adresse/strandholms-alle-21-2650-hvidovre-01677975__21_______,94.0,2650.0,Fibercement herunder asbest,4.0,boligsiden,https://www.boligsiden.dk/adresse/strandholms-alle-21-2650-hvidovre-01677975__21_______,Bindingsværk,100.4
nestors-alle-25-2650-hvidovre-01675974__25_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,2.130.000,3,Nestors Alle 25,Hvidovre,1,Varmepumpe,/adresse/nestors-alle-25-2650-hvidovre-01675974__25_______,75.0,2650.0,Tagpap med stor hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/nestors-alle-25-2650-hvidovre-01675974__25_______,Mursten,116.05
nestors-alle-25-2650-hvidovre-01675974__25_______,Villa,Free Sale,01-02-2019,Fri handel,01-02-2019,2.690.000,3,Nestors Alle 25,Hvidovre,1,Varmepumpe,/adresse/nestors-alle-25-2650-hvidovre-01675974__25_______,75.0,2650.0,Tagpap med stor hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/nestors-alle-25-2650-hvidovre-01675974__25_______,Mursten,116.05
nestors-alle-25-2650-hvidovre-01675974__25_______,Villa,Free Sale,30-04-2015,Fri handel,30-04-2015,1.650.000,3,Nestors Alle 25,Hvidovre,1,Varmepumpe,/adresse/nestors-alle-25-2650-hvidovre-01675974__25_______,75.0,2650.0,Tagpap med stor hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/nestors-alle-25-2650-hvidovre-01675974__25_______,Mursten,116.05
plovmarksvej-22-2605-broendby-01530506__22_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,3.600.000,3,Plovmarksvej 22,Brøndby,1,Centralvarme med én fyringsenhed,/adresse/plovmarksvej-22-2605-broendby-01530506__22_______,116.0,2605.0,Tagpap med stor hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/plovmarksvej-22-2605-broendby-01530506__22_______,Mursten,119.25
plovmarksvej-22-2605-broendby-01530506__22_______,Villa,Free Sale,02-09-1995,Fri handel,02-09-1995,703.500,3,Plovmarksvej 22,Brøndby,1,Centralvarme med én fyringsenhed,/adresse/plovmarksvej-22-2605-broendby-01530506__22_______,116.0,2605.0,Tagpap med stor hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/plovmarksvej-22-2605-broendby-01530506__22_______,Mursten,119.25
plovmarksvej-22-2605-broendby-01530506__22_______,Villa,Family Sale,21-03-1995,Familie handel,21-03-1995,565.000,3,Plovmarksvej 22,Brøndby,1,Centralvarme med én fyringsenhed,/adresse/plovmarksvej-22-2605-broendby-01530506__22_______,116.0,2605.0,Tagpap med stor hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/plovmarksvej-22-2605-broendby-01530506__22_______,Mursten,119.25
maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,5.325.000,3,Måløv Hovedgade 146B,Måløv,1,Centralvarme med én fyringsenhed,/adresse/maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,155.0,2760.0,Betontagsten,5.0,boligsiden,https://www.boligsiden.dk/adresse/maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,Mursten,163.25
maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,Villa,Free Sale,15-12-2014,Fri handel,15-12-2014,3.050.000,3,Måløv Hovedgade 146B,Måløv,1,Centralvarme med én fyringsenhed,/adresse/maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,155.0,2760.0,Betontagsten,5.0,boligsiden,https://www.boligsiden.dk/adresse/maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,Mursten,163.25
maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,Villa,Family Sale,11-07-2005,Familie handel,11-07-2005,2.995.000,3,Måløv Hovedgade 146B,Måløv,1,Centralvarme med én fyringsenhed,/adresse/maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,155.0,2760.0,Betontagsten,5.0,boligsiden,https://www.boligsiden.dk/adresse/maaloev-hovedgade-146b-2760-maaloev-01510778146b_______,Mursten,163.25
tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,2.395.000,3,"Tornegårdsvej 61, st.",Albertslund,1,Fjernvarme/blokvarme,/adresse/tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,62.0,2620.0,Tagpap med lille hældning,2.0,boligsiden,https://www.boligsiden.dk/adresse/tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,Mursten,Ikke oplyst
tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,Ejerlejlighed,Free Sale,21-04-2018,Fri handel,21-04-2018,1.850.000,3,"Tornegårdsvej 61, st.",Albertslund,1,Fjernvarme/blokvarme,/adresse/tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,62.0,2620.0,Tagpap med lille hældning,2.0,boligsiden,https://www.boligsiden.dk/adresse/tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,Mursten,Ikke oplyst
tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,Ejerlejlighed,Free Sale,15-10-2007,Fri handel,15-10-2007,1.795.000,3,"Tornegårdsvej 61, st.",Albertslund,1,Fjernvarme/blokvarme,/adresse/tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,62.0,2620.0,Tagpap med lille hældning,2.0,boligsiden,https://www.boligsiden.dk/adresse/tornegaardsvej-61-0-2620-albertslund-01652714__61_st____,Mursten,Ikke oplyst
vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,2.450.000,3,"Vejlegårdsparken 36, 1. th.",Vallensbæk Strand,1,Fjernvarme/blokvarme,/adresse/vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,87.0,2665.0,Tagpap med lille hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,Betonelementer,Ikke oplyst
vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,Ejerlejlighed,Free Sale,15-09-2021,Fri handel,15-09-2021,2.180.000,3,"Vejlegårdsparken 36, 1. th.",Vallensbæk Strand,1,Fjernvarme/blokvarme,/adresse/vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,87.0,2665.0,Tagpap med lille hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,Betonelementer,Ikke oplyst
vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,Ejerlejlighed,Free Sale,31-03-2003,Fri handel,31-03-2003,970.000,3,"Vejlegårdsparken 36, 1. th.",Vallensbæk Strand,1,Fjernvarme/blokvarme,/adresse/vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,87.0,2665.0,Tagpap med lille hældning,3.0,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-36-1-th-2665-vallensbaek-strand-01879267__36__1__th,Betonelementer,Ikke oplyst
tranedalen-11-2635-ishoej-01830760__11_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,3.295.000,1,Tranedalen 11,Ishøj,1,Fjernvarme/blokvarme,/adresse/tranedalen-11-2635-ishoej-01830760__11_______,144.0,2635.0,Metal,4.0,boligsiden,https://www.boligsiden.dk/adresse/tranedalen-11-2635-ishoej-01830760__11_______,Mursten,144
