Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Total Sales,City,Heating_Type,Link,Living_Area,Roof_Type,Rooms,URL,Wall_Material,Weighted_Area,is_foreclosure,transaction_id
raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Ræveskovsvej 14A,2820.0,Villa,Tvangsauktion,04-02-2025,9814803.0,2,Gentofte,Centralvarme med én fyringsenhed,/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,179.0,Tagpap med stor hældning,7.0,https://www.boligsiden.dk/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Andet materiale,189.75,1,F0
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",2665.0,Ejerlejlighed,Tvangsauktion,03-02-2025,1455883.0,3,Vallensbæk Strand,Fjernvarme/blokvarme,/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,63.0,Tagpap med stor hældning,2.0,https://www.boligsiden.dk/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,Betonelementer,Ikke oplyst,1,F1
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,2640.0,Villa,Tvangsauktion,31-10-2024,4675000.0,3,Hedehusene,Fjernvarme/blokvarme,/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,218.0,Fibercement herunder asbest,3.0,https://www.boligsiden.dk/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,Letbetonsten,226.8,1,F2
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,2640.0,Villa,Tvangsauktion,10-05-2023,4675000.0,3,Hedehusene,Fjernvarme/blokvarme,/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,218.0,Fibercement herunder asbest,3.0,https://www.boligsiden.dk/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,Letbetonsten,226.8,1,F3
soellingsvej-11-2920-charlottenlund-01570831__11_______,Søllingsvej 11,2920.0,Villa,Tvangsauktion,22-10-2024,10200000.0,2,Charlottenlund,Centralvarme med én fyringsenhed,/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,211.0,Tagpap med stor hældning,8.0,https://www.boligsiden.dk/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,Mursten,262.6,1,F4
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",2920.0,Ejerlejlighed,Tvangsauktion,16-09-2024,4459254.0,3,Charlottenlund,Fjernvarme/blokvarme,/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,121.0,Tegl,4.0,https://www.boligsiden.dk/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,Mursten,Ikke oplyst,1,F5
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,2920.0,Villa,Tvangsauktion,15-08-2024,16804894.0,3,Charlottenlund,Fjernvarme/blokvarme,/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,302.0,Tegl,11.0,https://www.boligsiden.dk/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Mursten,352.9,1,F6
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",2630.0,Ejerlejlighed,Tvangsauktion,07-04-2024,1435000.0,3,Taastrup,Fjernvarme/blokvarme,/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,71.0,Tagpap med lille hældning,2.0,https://www.boligsiden.dk/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,Betonelementer,Ikke oplyst,1,F7
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,2600.0,Villa,Tvangsauktion,01-04-2024,1400000.0,3,Glostrup,Centralvarme med én fyringsenhed,/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,91.0,Tagpap med stor hældning,4.0,https://www.boligsiden.dk/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,Mursten,126.6,1,F8
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,2600.0,Villa,Tvangsauktion,27-01-2014,1400000.0,3,Glostrup,Centralvarme med én fyringsenhed,/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,91.0,Tagpap med stor hældning,4.0,https://www.boligsiden.dk/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,Mursten,126.6,1,F9
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,2830.0,Villa,Tvangsauktion,05-03-2024,3876000.0,3,Virum,Centralvarme med én fyringsenhed,/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,205.0,Tegl,7.0,https://www.boligsiden.dk/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,Mursten,240.25,1,F10
kildemosen-25-2880-bagsvaerd-01590410__25_______,Kildemosen 25,2880.0,Villa,Tvangsauktion,25-02-2024,6066440.0,2,Bagsværd,Centralvarme med én fyringsenhed,/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,290.0,Tegl,4.0,https://www.boligsiden.dk/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,Mursten,49,1,F11
emtedalen-1b-2730-herlev-01631526__1b_______,Emtedalen 1B,2730.0,Villa,Tvangsauktion,06-11-2023,3220000.0,2,Herlev,Centralvarme med én fyringsenhed,/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,183.0,Tagpap med stor hældning,6.0,https://www.boligsiden.dk/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,Mursten,196,1,F12
strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,2650.0,Villa,Tvangsauktion,19-10-2023,3050000.0,3,Hvidovre,Centralvarme med én fyringsenhed,/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,96.0,Fibercement herunder asbest,4.0,https://www.boligsiden.dk/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,Letbetonsten,101.9,1,F13
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",2665.0,Ejerlejlighed,Tvangsauktion,19-10-2023,2155000.0,3,Vallensbæk Strand,Fjernvarme/blokvarme,/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,86.0,Tagpap med lille hældning,3.0,https://www.boligsiden.dk/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,Betonelementer,Ikke oplyst,1,F14
nordlundsvej-25-2650-hvidovre-01676033__25_______,Nordlundsvej 25,2650.0,Villa,Tvangsauktion,04-10-2023,3500000.0,2,Hvidovre,Centralvarme med én fyringsenhed,/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,132.0,Fibercement herunder asbest,6.0,https://www.boligsiden.dk/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,Mursten,137.55,1,F15
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640.0,Villa,Tvangsauktion,18-09-2023,3000000.0,3,Hedehusene,Fjernvarme/blokvarme,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,114.0,Tegl,4.0,https://www.boligsiden.dk/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Mursten,149.9,1,F16
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640.0,Villa,Tvangsauktion,16-11-2022,2541500.0,3,Hedehusene,Fjernvarme/blokvarme,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,114.0,Tegl,4.0,https://www.boligsiden.dk/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Mursten,149.9,1,F17
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650.0,Villa,Tvangsauktion,22-06-2023,3128500.0,3,Hvidovre,Centralvarme med én fyringsenhed,/adresse/klardam-4-2650-hvidovre-01674719___4_______,62.0,Tegl,4.0,https://www.boligsiden.dk/adresse/klardam-4-2650-hvidovre-01674719___4_______,Mursten,89.05,1,F18
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820.0,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,3,Gentofte,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,128.0,Tegl,4.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,Mursten,Ikke oplyst,1,F19
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820.0,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,3,Gentofte,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,128.0,Tegl,4.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,Mursten,Ikke oplyst,1,F20
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820.0,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,3,Gentofte,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,18.0,Tegl,1.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,Mursten,Ikke oplyst,1,F21
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820.0,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,3,Gentofte,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,18.0,Tegl,1.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,Mursten,Ikke oplyst,1,F22
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820.0,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,3,Gentofte,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,80.0,Tegl,3.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,Mursten,Ikke oplyst,1,F23
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820.0,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,3,Gentofte,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,80.0,Tegl,3.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,Mursten,Ikke oplyst,1,F24
vaarfluevej-21-2610-roedovre-01750968__21_______,Vårfluevej 21,2610.0,Villa,Tvangsauktion,30-05-2023,5325000.0,3,Rødovre,Centralvarme med én fyringsenhed,/adresse/vaarfluevej-21-2610-roedovre-01750968__21_______,172.0,Tegl,5.0,https://www.boligsiden.dk/adresse/vaarfluevej-21-2610-roedovre-01750968__21_______,Letbetonsten,200.8,1,F25
