Property_ID,Address,City,Floor,Floor_Count,Heating_Type,Last_Remodel_Year,Link,Living_Area,Postal_Code,Price,Property_Type,Roof_Type,Rooms,Scrape_Date,Source_Site,URL,Wall_Material,Weighted_Area
raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Ræveskovsvej 14A,Gentofte,N/A,2,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,179,2820,11790000,Villa,Tagpap med stor hældning,7,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Andet materiale,189.75
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",Vallensbæk Strand,N/A,6,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,63,2665,1538000,Ejerlejlighed,Tagpap med stor hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,Betonelementer,Ikke oplyst
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,Hedehusene,N/A,1,Fjernvarme/blokvarme,2020,/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,218,2640,4352000,Villa,Fibercement herunder asbest,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,Letbetonsten,226.8
soellingsvej-11-2920-charlottenlund-01570831__11_______,Søllingsvej 11,Charlottenlund,N/A,2,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,211,2920,13653000,Villa,Tagpap med stor hældning,8,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,Mursten,262.6
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",Charlottenlund,N/A,2,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,121,2920,7004000,Ejerlejlighed,Tegl,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,Mursten,Ikke oplyst
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,Charlottenlund,N/A,1,Fjernvarme/blokvarme,Ikke oplyst,/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,302,2920,21603000,Villa,Tegl,11,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Mursten,352.9
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,71,2630,1747000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,Betonelementer,Ikke oplyst
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,Glostrup,N/A,1,Centralvarme med én fyringsenhed,1953,/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,91,2600,3470000,Villa,Tagpap med stor hældning,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,Mursten,126.6
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,Virum,N/A,1,Centralvarme med én fyringsenhed,2003,/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,205,2830,10670000,Villa,Tegl,7,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,Mursten,240.25
kildemosen-25-2880-bagsvaerd-01590410__25_______,Kildemosen 25,Bagsværd,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,290,2880,9495000,Villa,Tegl,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,Mursten,49
