Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales,Address_details,City,Floor,Floor_Count,Heating_Type,Last_Remodel_Year,Link,Living_Area,Postal_Code_details,Price_details,Property_Type_details,Roof_Type,Rooms,Scrape_Date,Source_Site,URL,Wall_Material,Weighted_Area
raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Ræveskovsvej 14A,2820,Villa,Tvangsauktion,04-02-2025,9814803.0,1,2,Ræveskovsvej 14A,Gentofte,N/A,2.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,179.0,2820.0,11790000.0,Villa,Tagpap med stor hældning,7.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Andet materiale,189.75
raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Ræveskovsvej 14A,2820,Villa,Fri handel,23-01-2012,1900000.0,2,2,Ræveskovsvej 14A,Gentofte,N/A,2.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,179.0,2820.0,11790000.0,Villa,Tagpap med stor hældning,7.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Andet materiale,189.75
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",2665,Ejerlejlighed,Tvangsauktion,03-02-2025,1455883.0,1,3,"Vejlegårdsparken 82, st. mf.",Vallensbæk Strand,N/A,6.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,63.0,2665.0,1538000.0,Ejerlejlighed,Tagpap med stor hældning,2.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,Betonelementer,Ikke oplyst
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",2665,Ejerlejlighed,Fri handel,25-02-2003,865000.0,2,3,"Vejlegårdsparken 82, st. mf.",Vallensbæk Strand,N/A,6.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,63.0,2665.0,1538000.0,Ejerlejlighed,Tagpap med stor hældning,2.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,Betonelementer,Ikke oplyst
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",2665,Ejerlejlighed,Fri handel,21-03-1998,508480.0,3,3,"Vejlegårdsparken 82, st. mf.",Vallensbæk Strand,N/A,6.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,63.0,2665.0,1538000.0,Ejerlejlighed,Tagpap med stor hældning,2.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,Betonelementer,Ikke oplyst
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,2640,Villa,Tvangsauktion,31-10-2024,4675000.0,1,3,Hulkærvej 2,Hedehusene,N/A,1.0,Fjernvarme/blokvarme,2020,/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,218.0,2640.0,4352000.0,Villa,Fibercement herunder asbest,3.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,Letbetonsten,226.8
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,2640,Villa,Tvangsauktion,10-05-2023,4675000.0,2,3,Hulkærvej 2,Hedehusene,N/A,1.0,Fjernvarme/blokvarme,2020,/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,218.0,2640.0,4352000.0,Villa,Fibercement herunder asbest,3.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,Letbetonsten,226.8
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,2640,Villa,Fri handel,16-02-2021,5200000.0,3,3,Hulkærvej 2,Hedehusene,N/A,1.0,Fjernvarme/blokvarme,2020,/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,218.0,2640.0,4352000.0,Villa,Fibercement herunder asbest,3.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,Letbetonsten,226.8
soellingsvej-11-2920-charlottenlund-01570831__11_______,Søllingsvej 11,2920,Villa,Tvangsauktion,22-10-2024,10200000.0,1,2,Søllingsvej 11,Charlottenlund,N/A,2.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,211.0,2920.0,13653000.0,Villa,Tagpap med stor hældning,8.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,Mursten,262.6
soellingsvej-11-2920-charlottenlund-01570831__11_______,Søllingsvej 11,2920,Villa,Fri handel,25-10-2002,4350000.0,2,2,Søllingsvej 11,Charlottenlund,N/A,2.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,211.0,2920.0,13653000.0,Villa,Tagpap med stor hældning,8.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,Mursten,262.6
