ID,Link,Street,Postal_Code,City,Living_Area_M2,Num_Rooms,Num_Toilets,Sale_Price_DKK,Construction_Year,Built_Year,Num_Floors,Floor_Number,Heating_Type,Wall_Material,Weighted_Area,Roof_Type
vejlegaardsparken-50-2-26-2665-vallensbaek-strand-01879267__50__2__26,https://www.boligsiden.dk/adresse/vejlegaardsparken-50-2-26-2665-vallensbaek-strand-01879267__50__2__26,Vejlegårdsparken 50,2665,Vallensbæk Strand,47.0,2.0,1.0,210000.0,2025,2025,3,1,Fjernvarme/blokvarme,Betonelementer,47.0,Tagpap med lille hældning
groennevej-42-2830-virum-01730302__42_______,https://www.boligsiden.dk/adresse/groennevej-42-2830-virum-01730302__42_______,Grønnevej 42,2830,Virum,150.0,5.0,1.0,6600000.0,2025,2025,2,1,Centralvarme med én fyringsenhed,Mursten,180.0,Tagpap med stor hældning
berings-gade-20-1-th-2630-taastrup-01690370__20__1__th,https://www.boligsiden.dk/adresse/berings-gade-20-1-th-2630-taastrup-01690370__20__1__th,Berings Gade 20,2630,Taastrup,98.0,4.0,1.0,,2025,2025,3,1,Fjernvarme/blokvarme,Mursten,98.0,Tagpap med stor hældning
nordre-molevej-9-2930-klampenborg-01730934___9_______,https://www.boligsiden.dk/adresse/nordre-molevej-9-2930-klampenborg-01730934___9_______,Nordre Molevej 9,2930,Klampenborg,250.0,8.0,2.0,12900000.0,1993,1993,3,1,Centralvarme med én fyringsenhed,Mursten,332.0,Fibercement herunder asbest
pilevej-6-2600-glostrup-01610380___6_______,https://www.boligsiden.dk/adresse/pilevej-6-2600-glostrup-01610380___6_______,Pilevej 6,2600,Glostrup,116.0,5.0,1.0,500000.0,2025,2025,1,1,Centralvarme med én fyringsenhed,Mursten,143.6,Tegl
stadionvej-43-0-13-2600-glostrup-01610462__43_st__13,https://www.boligsiden.dk/adresse/stadionvej-43-0-13-2600-glostrup-01610462__43_st__13,Stadionvej 43,2600,Glostrup,101.0,4.0,1.0,145000.0,1992,1992,3,1,Fjernvarme/blokvarme,Mursten,101.0,Fibercement herunder asbest
saven-a-2-2-1-2630-taastrup-01696690___2__2___1,https://www.boligsiden.dk/adresse/saven-a-2-2-1-2630-taastrup-01696690___2__2___1,Saven A 2,2630,Taastrup,57.0,2.0,1.0,640000.0,2025,2025,4,1,Fjernvarme/blokvarme,Betonelementer,57.0,Tagpap med lille hældning
topperne-7-0-2-2620-albertslund-01650532___7_st___2,https://www.boligsiden.dk/adresse/topperne-7-0-2-2620-albertslund-01650532___7_st___2,Topperne 7,2620,Albertslund,33.0,,1.0,45000.0,1972,1972,4,1,Fjernvarme/blokvarme,Betonelementer,33.0,Fibercement herunder asbest
i.h.mundts-vej-24-2830-virum-01730375__24_______,https://www.boligsiden.dk/adresse/i.h.mundts-vej-24-2830-virum-01730375__24_______,I.H.Mundts Vej 24,2830,Virum,304.0,8.0,3.0,5500000.0,1976,1976,2,1,Varmepumpe,Mursten,381.25,Andet materiale
brandhoejgaardsvej-98-2640-hedehusene-01690680__98_______,https://www.boligsiden.dk/adresse/brandhoejgaardsvej-98-2640-hedehusene-01690680__98_______,Brandhøjgårdsvej 98,2640,Hedehusene,164.0,5.0,2.0,1000000.0,2015,2015,1,1,Varmepumpe,Mursten,178.75,Fibercement uden asbest
