Property ID,Link,Address,Property Type,Sales,First Sale Type,First Sale Date,First Sale Price,Sales Count,Page Number
raeveskovsvej-14a-2820-gentofte-01570670_14a_______,/adresse/raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Ræveskovsvej 14A,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""R\u00e6veskovsvej 14A2820 Gentofte"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 4022025.0, ""Raw Price"": ""04-02-2025""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""23-01-2012"", ""Raw Sale Date"": ""23-01-2012"", ""Price"": 1900000.0, ""Raw Price"": ""1.900.000""}]",Foreclosure,Tvangsauktion,4022025.0,2,1
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,/adresse/vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Vejleg\u00e5rdsparken 82, st. mf.2665 Vallensb\u00e6k Strand"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 3022025.0, ""Raw Price"": ""03-02-2025""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""25-02-2003"", ""Raw Sale Date"": ""25-02-2003"", ""Price"": 865000.0, ""Raw Price"": ""865.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""21-03-1998"", ""Raw Sale Date"": ""21-03-1998"", ""Price"": 508480.0, ""Raw Price"": ""508.480""}]",Foreclosure,Tvangsauktion,3022025.0,3,1
hulkaervej-2-2640-hedehusene-01692977___2_______,/adresse/hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Hulk\u00e6rvej 22640 Hedehusene"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 31102024.0, ""Raw Price"": ""31-10-2024""}, {""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Tvangsauktion"", ""Sale Date"": ""10-05-2023"", ""Raw Sale Date"": ""10-05-2023"", ""Price"": 4675000.0, ""Raw Price"": ""4.675.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""16-02-2021"", ""Raw Sale Date"": ""16-02-2021"", ""Price"": 5200000.0, ""Raw Price"": ""5.200.000""}]",Foreclosure,Tvangsauktion,31102024.0,3,1
soellingsvej-11-2920-charlottenlund-01570831__11_______,/adresse/soellingsvej-11-2920-charlottenlund-01570831__11_______,Søllingsvej 11,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""S\u00f8llingsvej 112920 Charlottenlund"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 22102024.0, ""Raw Price"": ""22-10-2024""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""25-10-2002"", ""Raw Sale Date"": ""25-10-2002"", ""Price"": 4350000.0, ""Raw Price"": ""4.350.000""}]",Foreclosure,Tvangsauktion,22102024.0,2,1
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Vangeporten 3, 1.2920 Charlottenlund"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 16092024.0, ""Raw Price"": ""16-09-2024""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""08-12-2003"", ""Raw Sale Date"": ""08-12-2003"", ""Price"": 2475000.0, ""Raw Price"": ""2.475.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""12-10-1998"", ""Raw Sale Date"": ""12-10-1998"", ""Price"": 1950000.0, ""Raw Price"": ""1.950.000""}]",Foreclosure,Tvangsauktion,16092024.0,3,1
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Gamlehave Alle 122920 Charlottenlund"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 15082024.0, ""Raw Price"": ""15-08-2024""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""02-09-2004"", ""Raw Sale Date"": ""02-09-2004"", ""Price"": 8150000.0, ""Raw Price"": ""8.150.000""}, {""Sale Type"": ""Family Sale"", ""Raw Sale Type"": ""Familie handel"", ""Sale Date"": ""30-08-2002"", ""Raw Sale Date"": ""30-08-2002"", ""Price"": 3575000.0, ""Raw Price"": ""3.575.000""}]",Foreclosure,Tvangsauktion,15082024.0,3,1
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",Ejerlejlighed,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Murskeen 2, 2. 23.2630 Taastrup"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 7042024.0, ""Raw Price"": ""07-04-2024""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""30-11-2006"", ""Raw Sale Date"": ""30-11-2006"", ""Price"": 1365000.0, ""Raw Price"": ""1.365.000""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""22-12-2004"", ""Raw Sale Date"": ""22-12-2004"", ""Price"": 1019000.0, ""Raw Price"": ""1.019.000""}]",Foreclosure,Tvangsauktion,7042024.0,3,1
gerdasvej-51-2600-glostrup-01610169__51_______,/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Gerdasvej 512600 Glostrup"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 1042024.0, ""Raw Price"": ""01-04-2024""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""22-03-2024"", ""Raw Sale Date"": ""22-03-2024"", ""Price"": 2750000.0, ""Raw Price"": ""2.750.000""}, {""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Tvangsauktion"", ""Sale Date"": ""27-01-2014"", ""Raw Sale Date"": ""27-01-2014"", ""Price"": 1400000.0, ""Raw Price"": ""1.400.000""}]",Foreclosure,Tvangsauktion,1042024.0,3,1
virum-overdrevsvej-26-2830-virum-01730868__26_______,/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Virum Overdrevsvej 262830 Virum"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 5032024.0, ""Raw Price"": ""05-03-2024""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""26-05-2021"", ""Raw Sale Date"": ""26-05-2021"", ""Price"": 3100000.0, ""Raw Price"": ""3.100.000""}, {""Sale Type"": ""Family Sale"", ""Raw Sale Type"": ""Familie handel"", ""Sale Date"": ""05-03-2004"", ""Raw Sale Date"": ""05-03-2004"", ""Price"": 2350000.0, ""Raw Price"": ""2.350.000""}]",Foreclosure,Tvangsauktion,5032024.0,3,1
kildemosen-25-2880-bagsvaerd-01590410__25_______,/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,Kildemosen 25,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Kildemosen 252880 Bagsv\u00e6rd"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 25022024.0, ""Raw Price"": ""25-02-2024""}, {""Sale Type"": ""Free Sale"", ""Raw Sale Type"": ""Fri handel"", ""Sale Date"": ""27-10-2017"", ""Raw Sale Date"": ""27-10-2017"", ""Price"": 4695000.0, ""Raw Price"": ""4.695.000""}]",Foreclosure,Tvangsauktion,25022024.0,2,1
emtedalen-1b-2730-herlev-01631526__1b_______,/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,Emtedalen 1B,Villa,"[{""Sale Type"": ""Foreclosure"", ""Raw Sale Type"": ""Emtedalen 1B2730 Herlev"", ""Sale Date"": ""Tvangsauktion"", ""Raw Sale Date"": ""Tvangsauktion"", ""Price"": 6112023.0, ""Raw Price"": ""06-11-2023""}, {""Sale Type"": ""Family Sale"", ""Raw Sale Type"": ""Familie handel"", ""Sale Date"": ""16-12-1998"", ""Raw Sale Date"": ""16-12-1998"", ""Price"": 2200000.0, ""Raw Price"": ""2.200.000""}]",Foreclosure,Tvangsauktion,6112023.0,2,1
