Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales
raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Ræveskovsvej 14A,2820,Villa,Tvangsauktion,04-02-2025,9814803.0,1,2
raeveskovsvej-14a-2820-gentofte-01570670_14a_______,Ræveskovsvej 14A,2820,Villa,Fri handel,23-01-2012,1900000.0,2,2
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",2665,Ejerlejlighed,Tvangsauktion,03-02-2025,1455883.0,1,3
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",2665,Ejerlejlighed,Fri handel,25-02-2003,865000.0,2,3
vejlegaardsparken-82-0-mf-2665-vallensbaek-strand-01879267__82_st__mf,"Vejlegårdsparken 82, st. mf.",2665,Ejerlejlighed,Fri handel,21-03-1998,508480.0,3,3
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,2640,Villa,Tvangsauktion,31-10-2024,4675000.0,1,3
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,2640,Villa,Tvangsauktion,10-05-2023,4675000.0,2,3
hulkaervej-2-2640-hedehusene-01692977___2_______,Hulkærvej 2,2640,Villa,Fri handel,16-02-2021,5200000.0,3,3
soellingsvej-11-2920-charlottenlund-01570831__11_______,Søllingsvej 11,2920,Villa,Tvangsauktion,22-10-2024,10200000.0,1,2
soellingsvej-11-2920-charlottenlund-01570831__11_______,Søllingsvej 11,2920,Villa,Fri handel,25-10-2002,4350000.0,2,2
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",2920,Ejerlejlighed,Tvangsauktion,16-09-2024,4459254.0,1,3
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",2920,Ejerlejlighed,Fri handel,08-12-2003,2475000.0,2,3
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",2920,Ejerlejlighed,Fri handel,12-10-1998,1950000.0,3,3
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,2920,Villa,Tvangsauktion,15-08-2024,16804894.0,1,3
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,2920,Villa,Fri handel,02-09-2004,8150000.0,2,3
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,2920,Villa,Familie handel,30-08-2002,3575000.0,3,3
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",2630,Ejerlejlighed,Tvangsauktion,07-04-2024,1435000.0,1,3
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",2630,Ejerlejlighed,Fri handel,30-11-2006,1365000.0,2,3
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",2630,Ejerlejlighed,Fri handel,22-12-2004,1019000.0,3,3
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,2600,Villa,Tvangsauktion,01-04-2024,1400000.0,1,3
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,2600,Villa,Fri handel,22-03-2024,2750000.0,2,3
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,2600,Villa,Tvangsauktion,27-01-2014,1400000.0,3,3
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,2830,Villa,Tvangsauktion,05-03-2024,3876000.0,1,3
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,2830,Villa,Fri handel,26-05-2021,3100000.0,2,3
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,2830,Villa,Familie handel,05-03-2004,2350000.0,3,3
kildemosen-25-2880-bagsvaerd-01590410__25_______,Kildemosen 25,2880,Villa,Tvangsauktion,25-02-2024,6066440.0,1,2
kildemosen-25-2880-bagsvaerd-01590410__25_______,Kildemosen 25,2880,Villa,Fri handel,27-10-2017,4695000.0,2,2
emtedalen-1b-2730-herlev-01631526__1b_______,Emtedalen 1B,2730,Villa,Tvangsauktion,06-11-2023,3220000.0,1,2
emtedalen-1b-2730-herlev-01631526__1b_______,Emtedalen 1B,2730,Villa,Familie handel,16-12-1998,2200000.0,2,2
strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,2650,Villa,Tvangsauktion,19-10-2023,3050000.0,1,3
strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,2650,Villa,Fri handel,24-08-2017,2735000.0,2,3
strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,2650,Villa,Familie handel,18-10-1999,465000.0,3,3
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",2665,Ejerlejlighed,Tvangsauktion,19-10-2023,2155000.0,1,3
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",2665,Ejerlejlighed,Fri handel,28-01-2022,2000000.0,2,3
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",2665,Ejerlejlighed,Fri handel,16-01-2019,1630000.0,3,3
nordlundsvej-25-2650-hvidovre-01676033__25_______,Nordlundsvej 25,2650,Villa,Tvangsauktion,04-10-2023,3500000.0,1,2
nordlundsvej-25-2650-hvidovre-01676033__25_______,Nordlundsvej 25,2650,Villa,Familie handel,31-03-1992,815000.0,2,2
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640,Villa,Tvangsauktion,18-09-2023,3000000.0,1,3
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640,Villa,Tvangsauktion,16-11-2022,2541500.0,2,3
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640,Villa,Fri handel,18-03-2016,2400000.0,3,3
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650,Villa,Tvangsauktion,22-06-2023,3128500.0,1,3
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650,Villa,Fri handel,11-09-2005,2350000.0,2,3
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650,Villa,Fri handel,07-07-2004,1645000.0,3,3
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,1,3
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,2,3
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Fri handel,11-12-2006,2450000.0,3,3
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,1,3
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,2,3
