ID,Link,Address,Property Type,Sale Type,Sale Date,Price,Page Number,Is Auction
b7f58c79-5197-417c-81aa-0c1dbf86bc17,/adresse/agerskovvej-19-2610-roedovre-01750007__19_______,,Villa,Agerskovvej 192610 Rødovre,Familie handel,14-03-2025,1,False
b7f58c79-5197-417c-81aa-0c1dbf86bc17,/adresse/agerskovvej-19-2610-roedovre-01750007__19_______,,Villa,Fri handel,08-05-2015,2.995.000,1,False
f9ed2ecc-3343-4d21-ab2f-6159d31faa49,/adresse/borgmester-joergensens-vej-9-2930-klampenborg-01570071___9_______,,Villa,Borgmester Jørgensens Vej 92930 Klampenborg,Fri handel,14-03-2025,1,False
f9ed2ecc-3343-4d21-ab2f-6159d31faa49,/adresse/borgmester-joergensens-vej-9-2930-klampenborg-01570071___9_______,,Villa,Fri handel,30-06-2023,10.000.000,1,False
a0186903-4876-4325-ab91-1e0311790d5e,/adresse/kraghave-parkvej-4-2630-taastrup-01694060___4_______,,Villa,Kraghave Parkvej 42630 Taastrup,Fri handel,14-03-2025,1,False
a0186903-4876-4325-ab91-1e0311790d5e,/adresse/kraghave-parkvej-4-2630-taastrup-01694060___4_______,,Villa,Fri handel,28-03-2022,4.935.000,1,False
a0186903-4876-4325-ab91-1e0311790d5e,/adresse/kraghave-parkvej-4-2630-taastrup-01694060___4_______,,Villa,Fri handel,08-08-1999,1.794.971,1,False
fc3b4240-64d7-466a-acf7-6b9ed40835ab,/adresse/marievej-35-2740-skovlunde-01510629__35_______,,Villa,Marievej 352740 Skovlunde,Fri handel,06-03-2025,1,False
fc3b4240-64d7-466a-acf7-6b9ed40835ab,/adresse/marievej-35-2740-skovlunde-01510629__35_______,,Villa,Fri handel,23-02-2024,3.775.000,1,False
fc3b4240-64d7-466a-acf7-6b9ed40835ab,/adresse/marievej-35-2740-skovlunde-01510629__35_______,,Villa,Fri handel,11-03-2003,1.625.000,1,False
7c6696a9-7d9a-4e6e-a610-c27b60fcfec4,/adresse/hoejstrupvej-25-2665-vallensbaek-strand-01873408__25_______,,Villa,Højstrupvej 252665 Vallensbæk Strand,Familie handel,01-03-2025,1,False
7c6696a9-7d9a-4e6e-a610-c27b60fcfec4,/adresse/hoejstrupvej-25-2665-vallensbaek-strand-01873408__25_______,,Villa,Fri handel,09-02-2017,2.775.000,1,False
b7c07c16-9822-45ed-af06-92fe2fb7ba91,/adresse/nordvang-16-2640-hedehusene-01695468__16_______,,Villa,Nordvang 162640 Hedehusene,Fri handel,01-03-2025,1,False
b7c07c16-9822-45ed-af06-92fe2fb7ba91,/adresse/nordvang-16-2640-hedehusene-01695468__16_______,,Villa,Fri handel,08-12-1992,714.550,1,False
2ef37e58-aa70-4307-ab86-63829f9e14c6,/adresse/virumbakken-18-2830-virum-01730864__18_______,,Villa,Virumbakken 182830 Virum,Fri handel,28-02-2025,1,False
2ef37e58-aa70-4307-ab86-63829f9e14c6,/adresse/virumbakken-18-2830-virum-01730864__18_______,,Villa,Familie handel,01-04-2002,1.225.625,1,False
2ef37e58-aa70-4307-ab86-63829f9e14c6,/adresse/virumbakken-18-2830-virum-01730864__18_______,,Villa,Fri handel,28-04-1996,1.599.000,1,False
c93c4c19-b0d5-4cd7-8d23-134fc096f7d3,/adresse/soeager-25-2820-gentofte-01570816__25_______,,Villa,Søager 252820 Gentofte,Fri handel,28-02-2025,1,False
c93c4c19-b0d5-4cd7-8d23-134fc096f7d3,/adresse/soeager-25-2820-gentofte-01570816__25_______,,Villa,Fri handel,14-02-2013,4.350.000,1,False
