ID,Link,Address,Sale Type,Sale Date,Price,Page Number
36c453f5-8e39-4252-85ae-c628e04313d0,/adresse/aagesholmsvej-2-2640-hedehusene-01699726___2_______,,Ågesholmsvej 22640 Hedehusene,Tvangsauktion,08-08-2011,1
36c453f5-8e39-4252-85ae-c628e04313d0,/adresse/aagesholmsvej-2-2640-hedehusene-01699726___2_______,,Fri handel,10-01-1999,700.000,1
36c453f5-8e39-4252-85ae-c628e04313d0,/adresse/aagesholmsvej-2-2640-hedehusene-01699726___2_______,,Fri handel,27-11-1997,3.498.852,1
e83888a0-a8ef-497d-8671-796499eec218,/adresse/oestervej-34-2750-ballerup-01510379__34_______,,Østervej 342750 Ballerup,Tvangsauktion,17-05-2010,1
e83888a0-a8ef-497d-8671-796499eec218,/adresse/oestervej-34-2750-ballerup-01510379__34_______,,Fri handel,17-08-2006,3.549.000,1
68732d74-6d67-4e50-a90b-e1bbf6346ecb,/adresse/oestervang-30-2800-kongens-lyngby-01590987__30_______,,Østervang 302800 Kongens Lyngby,Tvangsauktion,09-07-2009,1
68732d74-6d67-4e50-a90b-e1bbf6346ecb,/adresse/oestervang-30-2800-kongens-lyngby-01590987__30_______,,Fri handel,23-01-2006,4.575.000,1
71e27ab7-713b-4961-a860-c7090e1efbc8,/adresse/aertemarken-119a-0-tv-2860-soeborg-01590981119a_st__tv,,"Ærtemarken 119A, st. tv.2860 Søborg",Tvangsauktion,05-08-2020,1
71e27ab7-713b-4961-a860-c7090e1efbc8,/adresse/aertemarken-119a-0-tv-2860-soeborg-01590981119a_st__tv,,Familie handel,25-06-2001,900.000,1
b1737773-3428-431e-8181-9fd58b6cfac2,/adresse/aertemarken-119a-0-th-2860-soeborg-01590981119a_st__th,,"Ærtemarken 119A, st. th.2860 Søborg",Tvangsauktion,05-08-2020,1
b1737773-3428-431e-8181-9fd58b6cfac2,/adresse/aertemarken-119a-0-th-2860-soeborg-01590981119a_st__th,,Familie handel,25-06-2001,900.000,1
